URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">src=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(9)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c">&lt;!-- Or unpkg --&gt;</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(12)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">src=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(14)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c1">// Do not use with other web frameworks!</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 13.1pt- font weight: normal). Expected contrast ratio of 4.5:1,code > span.c1
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">rel=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 13.1pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > ul:nth-child(16) > li:nth-child(3) > figure > pre > code > span:nth-child(3)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">href=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 13.1pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > ul:nth-child(16) > li:nth-child(3) > figure > pre > code > span:nth-child(5)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">src=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 13.1pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > ul:nth-child(16) > li:nth-child(3) > figure > pre > code > span:nth-child(12)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">src=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 13.1pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > ul:nth-child(16) > li:nth-child(3) > figure > pre > code > span:nth-child(16)
https://www.designsystem.gov.sg/docs/installation/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<input class="input is-fullwidth is-borderless is-shadowless" id="search" type="text" placeholder="What are you looking for?" name="search" autocomplete="off" aria-label="search">,Document has multiple elements with the same id attribute: search,#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type="text"]
https://www.designsystem.gov.sg/docs/installation/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<div class="row" id="sitefinity">,Document has multiple elements with the same id attribute: sitefinity,.content.has-default-header-styles > div:nth-child(23)
https://www.designsystem.gov.sg/docs/installation/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html lang="en">,,html
https://www.designsystem.gov.sg/docs/installation/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,<ul class="sgds-menu-list">,,.sidebar__inner.sgds-menu > ul.sgds-menu-list
